Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170884,"lb2_B12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782486",SRX1782486,"Gray Camp","Feb 08, 2017"
GSM2170885,"lb2_B1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782487",SRX1782487,"Gray Camp","Feb 08, 2017"
GSM2170886,"lb2_B2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782488",SRX1782488,"Gray Camp","Feb 08, 2017"
GSM2170887,"lb2_B3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782489",SRX1782489,"Gray Camp","Feb 08, 2017"
GSM2170888,"lb2_B5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782490",SRX1782490,"Gray Camp","Feb 08, 2017"
GSM2170889,"lb2_B6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782491",SRX1782491,"Gray Camp","Feb 08, 2017"
GSM2170890,"lb2_B7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782492",SRX1782492,"Gray Camp","Feb 08, 2017"
GSM2170891,"lb2_B8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782493",SRX1782493,"Gray Camp","Feb 08, 2017"
GSM2170892,"lb2_C11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782494",SRX1782494,"Gray Camp","Feb 08, 2017"
GSM2170893,"lb2_C12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782495",SRX1782495,"Gray Camp","Feb 08, 2017"
