Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2483686,"pDC_P3_S6","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483687,"pDC_P3_S7","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483688,"pDC_P3_S8","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483689,"pDC_P3_S9","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483690,"pDC_P4_S25","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483691,"pDC_P4_S26","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483692,"pDC_P4_S27","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483693,"pDC_P4_S28","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483694,"pDC_P4_S29","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483695,"pDC_P4_S30","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483696,"pDC_P4_S31","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483697,"pDC_P4_S32","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483698,"pDC_P4_S33","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483699,"pDC_P4_S34","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483700,"pDC_P4_S35","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483701,"pDC_P4_S36","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483702,"pDC_P4_S37","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483703,"pDC_P4_S38","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483704,"pDC_P4_S39","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483705,"pDC_P4_S40","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483706,"pDC_P4_S41","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483707,"pDC_P4_S42","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483708,"pDC_P4_S43","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483709,"pDC_P4_S44","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483710,"pDC_P4_S45","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483711,"pDC_P4_S46","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483712,"pDC_P4_S47","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483713,"pDC_P4_S48","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483714,"pDC_P7_S1","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483715,"pDC_P7_S10","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483716,"pDC_P7_S11","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483717,"pDC_P7_S12","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483718,"pDC_P7_S13","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483719,"pDC_P7_S14","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483720,"pDC_P7_S15","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483721,"pDC_P7_S16","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483722,"pDC_P7_S17","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483723,"pDC_P7_S18","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483724,"pDC_P7_S19","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483725,"pDC_P7_S2","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483726,"pDC_P7_S20","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483727,"pDC_P7_S21","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483728,"pDC_P7_S22","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483729,"pDC_P7_S23","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483730,"pDC_P7_S24","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483731,"pDC_P7_S3","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483732,"pDC_P7_S4","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483733,"pDC_P7_S5","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483734,"pDC_P7_S6","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483735,"pDC_P7_S7","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483736,"pDC_P7_S8","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483737,"pDC_P7_S9","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483738,"pDC_P8_S25","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483739,"pDC_P8_S26","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483740,"pDC_P8_S27","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483741,"pDC_P8_S28","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483742,"pDC_P8_S29","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483743,"pDC_P8_S30","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483744,"pDC_P8_S31","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483745,"pDC_P8_S32","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483746,"pDC_P8_S33","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483747,"pDC_P8_S34","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483748,"pDC_P8_S35","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483749,"pDC_P8_S36","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483750,"pDC_P8_S37","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483751,"pDC_P8_S38","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483752,"pDC_P8_S39","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483753,"pDC_P8_S40","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483754,"pDC_P8_S41","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483755,"pDC_P8_S42","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483756,"pDC_P8_S43","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483757,"pDC_P8_S44","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483758,"pDC_P8_S45","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483759,"pDC_P8_S46","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483760,"pDC_P8_S47","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483761,"pDC_P8_S48","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483762,"pDC_P9_S49","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483763,"pDC_P9_S50","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483764,"pDC_P9_S51","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483765,"pDC_P9_S52","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483766,"pDC_P9_S53","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483767,"pDC_P9_S54","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483768,"pDC_P9_S55","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483769,"pDC_P9_S56","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483770,"pDC_P9_S57","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483771,"pDC_P9_S58","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483772,"pDC_P9_S59","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483773,"pDC_P9_S60","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483774,"pDC_P9_S61","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483775,"pDC_P9_S62","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483776,"pDC_P9_S63","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483777,"pDC_P9_S64","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483778,"pDC_P9_S65","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483779,"pDC_P9_S66","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483780,"pDC_P9_S67","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483781,"pDC_P9_S68","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483782,"pDC_P9_S69","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483783,"pDC_P9_S70","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483784,"pDC_P9_S71","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483785,"pDC_P9_S72","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483786,"CD141_P10_S73","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483787,"CD141_P10_S74","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483788,"CD141_P10_S75","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483789,"CD141_P10_S76","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483790,"CD141_P10_S77","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
GSM2483791,"CD141_P10_S78","SRA","Homo sapiens",1,GPL16791,GSE94820,,,,"Nir Hacohen","Apr 21, 2017"
